Brasil,212.583.750
Norte,18.669.345
Rondônia,1.746.227
Acre,880.631
Amazonas,4.281.209
Roraima,716.793
Pará,8.664.306
Amapá,802.837
Tocantins,1.577.342
Nordeste,57.112.096
Maranhão,7.010.960
Piauí,3.375.646
Ceará,9.233.656
Rio Grande do Norte,3.446.071
Paraíba,4.145.040
Pernambuco,9.539.029
Alagoas,3.220.104
Sergipe,2.291.077
Bahia,14.850.513
Sudeste,88.617.693
Minas Gerais,21.322.691
Espírito Santo,4.102.129
Rio de Janeiro,17.219.679
São Paulo,45.973.194
Sul,31.113.021
Paraná,11.824.665
Santa Catarina,8.058.441
Rio Grande do Sul,11.229.915
Centro-Oeste,17.071.595
Mato Grosso do Sul,2.901.895
Mato Grosso,3.836.399
Goiás,7.350.483
Distrito Federal,2.982.818
,
Fonte: IBGE. Diretoria de Pesquisas - DPE -  Coordenação de População e Indicadores Sociais - COPIS.,
