OBJECTID,ANO,CDEST,NMEST,SGEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
1,2021,11     ,Rondônia,RO,REGIÃO NORTE,5.12974132,0.40725543,0.61752478,0.05256742,0.04277183,9.92892571,14.35105183,30.52983831,3601603.10759843,248102426741.239
2,2021,12     ,Acre,AC,REGIÃO NORTE,3.07559814,0.22994895,0.09130234,0.0009441,0,2.04844099,0.29176922,5.73800373,2897316.35725355,169563919930.72
3,2021,13     ,Amazonas,AM,REGIÃO NORTE,9.95364061,1.11750163,0.80932452,0.06534066,14.46639306,1.02788461,0.57336724,28.01345233,8244629.42527372,1581644990599.32
4,2021,14     ,Roraima,RR,REGIÃO NORTE,2.34460634,0.18881444,0.05924286,0.00100784,0,0.56563522,5.84221087,9.00151757,3640407.06005273,226259411802.935
5,2021,15     ,Pará,PA,REGIÃO NORTE,16.6123754,2.89402373,2.39650185,9.18284224,7.06138333,14.23782559,8.8784318,61.26338395,7662269.73853312,1265961039745.41
6,2021,16     ,Amapá,AP,REGIÃO NORTE,4.56695617,0.11784575,0.0279027,0.17506308,0,0.23720385,0.79813045,5.923102,2441910.1120834,143937452803.149
7,2021,17     ,Tocantins,TO,REGIÃO NORTE,2.8614418,0.32540565,0.47039805,0.03616773,0,5.67874761,20.68485361,30.05701444,4235109.95188764,288769143877.926
8,2021,21     ,Maranhão,MA,REGIÃO NORDESTE,17.34144622,2.72377252,2.01869481,0.0277769,6.45096713,5.82768282,12.22226999,46.61261038,6607018.37767858,337131385660.35
9,2021,22     ,Piauí,PI,REGIÃO NORDESTE,5.26692001,0.80521916,0.83633176,0.01106725,0,1.60786819,11.73757432,20.26498069,3408537.61036026,257740794054.489
10,2021,23     ,Ceará,CE,REGIÃO NORDESTE,17.42870777,2.2556365,3.61472476,0.04459213,0.63933473,2.71950629,37.31840417,64.02090636,2149704.9590275,151166467073.717
11,2021,24     ,Rio Grande do Norte,RN,REGIÃO NORDESTE,7.05641271,0.81181248,1.40911722,0.02160723,0,0.9971642,13.44173615,23.73784999,1544190.95820838,53719087842.8897
12,2021,25     ,Paraíba,PB,REGIÃO NORDESTE,6.42646898,0.97116095,2.86367681,0.05321768,0,1.23898858,4.22606603,15.77957903,2135508.2776125,57729052159.6276
13,2021,26     ,Pernambuco,PE,REGIÃO NORDESTE,18.51222559,1.8674565,8.9784074,0.02836038,3.29095201,2.46724475,39.18315798,74.32780462,2884130.89295515,100904359287.383
14,2021,27     ,Alagoas,AL,REGIÃO NORDESTE,5.83001576,0.61650115,8.89818222,0.02363241,0,1.13208825,13.16305065,29.66347044,1104515.73384196,28742006893.1392
15,2021,28     ,Sergipe,SE,REGIÃO NORDESTE,4.1782117,0.62993981,1.33169342,0.06294488,0.37891,0.85562955,8.12858411,15.56591347,919204.88061089,22824534442.6621
16,2021,29     ,Bahia,BA,REGIÃO NORDESTE,22.03322419,4.01214299,8.15517047,0.34770933,1.21776066,7.96093444,159.63058147,203.35752355,6005653.86891121,596744772071.282
17,2021,31     ,Minas Gerais,MG,REGIÃO SUDESTE,46.57034077,3.6047143,19.40097248,16.8929078,5.97177126,17.75803942,203.57641183,313.77515786,6522198.00364721,656239909240.35
18,2021,32     ,Espírito Santo,ES,REGIÃO SUDESTE,9.86097451,0.5984238,2.38794273,0.0798463,3.96975546,1.58579983,59.35645835,77.83920099,1627297.56115175,52210288690.1815
19,2021,33     ,Rio de Janeiro,RJ,REGIÃO SUDESTE,54.79488695,0.70836094,8.49413897,0.07223783,11.99410573,1.94975837,5.47823267,83.49172146,3241916.69545315,51319602818.9096
20,2021,35     ,São Paulo,SP,REGIÃO SUDESTE,124.91444577,2.1126495,52.95642629,0.4362616,10.67388122,8.13494272,66.89175265,266.12035975,4677122.85184789,291382510172.47
21,2021,41     ,Paraná,PR,REGIÃO SUL,22.23484109,1.51227327,18.05726829,0.17053212,1.18463363,9.55987063,8.68014637,61.3995654,3225357.59471003,242372568951.601
22,2021,42     ,Santa Catarina,SC,REGIÃO SUL,15.71720781,1.02080536,8.03698343,0.84133757,18.77785236,5.60773327,34.82790824,84.82982803,3756700.28767622,121623780217.054
23,2021,43     ,Rio Grande do Sul,RS,REGIÃO SUL,24.43582955,1.97320641,9.80017082,0.73413547,4.69252745,10.69544621,305.26475056,357.59606648,6228235.8878384,357727338727.721
24,2021,50     ,Mato Grosso do Sul,MS,REGIÃO CENTRO-OESTE,6.22160126,0.40656542,12.21937532,0.48860166,0.12772196,12.7487584,9.25177828,41.4644023,4111222.80556296,408569119682.633
25,2021,51     ,Mato Grosso,MT,REGIÃO CENTRO-OESTE,9.69327764,0.64893113,3.25995475,0.11913191,0.04066721,19.96078183,32.20802249,65.93076697,6203665.79446648,958588317499.953
26,2021,52     ,Goiás,GO,REGIÃO CENTRO-OESTE,13.47370769,0.43781975,9.69113915,0.44864599,1.51377778,16.16272441,63.3839984,105.11181318,5149107.78939742,370668485389.203
27,2021,53     ,Distrito Federal,DF,REGIÃO CENTRO-OESTE,6.11956023,0.09211521,0.34785021,0.01805427,0,0.13312566,6.63311489,13.34382047,436102.597805204,6277527498.7062
